HospitalKey,HospitalName,HospitalCounty,Discharges,ExactLOSDischarges,AvgExactLOS,CensoredDischarges,TotalEstimatedCost,AvgEstimatedCost,MatchedDischarges,BenchmarkCoverage,MatchedObservedDays,MatchedExpectedDays,LOSIndex
001637,NEWYORK-PRESBYTERIAN/QUEENS,Queens,4395,4394,7.69458352298589,1,128684807.95,29279.81978384528,4394,0.9997724687144482,33810,37732.83054499006,0.8960366744733677
001463,NYU LANGONE HOSPITALS,New York,3924,3924,6.381243628950051,0,206258748.65,52563.391602956166,3923,0.9997451580020388,25028,31779.177734163117,0.7875597099887989
001464,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,New York,3661,3660,7.467486338797814,1,169660921.73,46342.78113357007,3650,0.9969953564599836,27238,29881.53721034198,0.9115327571090602
001305,MAIMONIDES MEDICAL CENTER,Kings,3569,3568,9.239910313901346,1,125146692.96,35064.91817315775,3567,0.9994396189408798,32960,30256.520250301284,1.0893519719826934
001630,LONG ISLAND JEWISH MEDICAL CENTER,Queens,3369,3367,8.000594000594,2,93400533.54,27723.51841495993,3364,0.9985158800831108,26887,25901.97222971014,1.0380290644107792
001169,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,Bronx,3365,3364,8.387039239001188,1,136173308.13,40467.55070728083,3362,0.9991084695393759,28190,25344.729080496345,1.1122628263441645
001740,STATEN ISLAND UNIVERSITY HOSP-NORTH,Richmond,3179,3178,8.111705475141598,1,100315236.82,31555.59509908776,3178,0.9996854356715948,25779,24129.058115584856,1.0683798711293024
001456,MOUNT SINAI HOSPITAL,New York,3059,3057,8.934249263984299,2,136523615.62,44630.14567505721,3054,0.998365478914678,27305,24404.149902826593,1.1188670823906641
001304,NYU LANGONE HOSPITAL-BROOKLYN,Kings,2908,2908,6.228335625859698,0,146095240.94,50239.078727647866,2908,1.0,18112,23420.80442421932,0.7733295437653919
001458,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,New York,2871,2868,8.51673640167364,3,159072242.51,55406.56304771856,2868,0.9989550679205852,24426,23666.16784109826,1.0321062608869962
001306,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,Kings,2816,2813,8.294703163881977,3,118926478.44,42232.41421875,2812,0.9985795454545454,23320,22875.3634403777,1.0194373549859088
003058,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,Bronx,2739,2738,8.555149744338934,1,113705683.82,41513.57569185834,2738,0.9996349032493611,23424,21788.836444582583,1.075045932791146
001178,BRONXCARE HOSPITAL CENTER,Bronx,2584,2584,6.94156346749226,0,172931792.25,66924.06820820433,2584,1.0,17937,18070.945203533895,0.9925878141942625
001450,LENOX HILL HOSPITAL,New York,2257,2257,5.440850686752326,0,62046584.3,27490.732964111652,2256,0.9995569339831635,12273,17388.46627334649,0.7058126810650566
001469,MOUNT SINAI MORNINGSIDE,New York,2220,2219,7.8769716088328074,1,70305105.16,31668.966288288288,2218,0.9990990990990991,17470,16570.1720962706,1.0543040771394234
001629,JAMAICA HOSPITAL MEDICAL CENTER,Queens,2017,2017,6.9191869112543385,0,46289928.12,22949.88999504214,2014,0.9985126425384234,13948,15080.005336393058,0.9249333596944324
001638,LONG ISLAND JEWISH FOREST HILLS,Queens,2003,2001,6.501749125437281,2,39778712.26,19859.566779830257,2001,0.99900149775337,13010,15198.623754978868,0.8559985568257847
001301,KINGS COUNTY HOSPITAL CENTER,Kings,1953,1946,9.826824254881808,7,107732232.94,55162.4336610343,1946,0.996415770609319,19123,14467.355601816225,1.3218034122005895
001294,SOUTH BROOKLYN HEALTH,Kings,1799,1794,9.62597547380156,5,87627273.3,48708.87898832685,1794,0.9972206781545303,17269,13651.635964674477,1.2649765965548716
001626,ELMHURST HOSPITAL CENTER,Queens,1738,1735,8.851296829971181,3,76099304.05,43785.560443037975,1734,0.997698504027618,15338,12848.313401589981,1.193775363395317
003975,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,New York,1720,1720,7.151162790697675,0,79358610.35,46138.72694767442,1720,1.0,12300,14864.849855843415,0.8274553809344287
001633,QUEENS HOSPITAL CENTER,Queens,1704,1703,6.57428068115091,1,58407952.9,34276.96766431925,1703,0.9994131455399061,11196,12562.821562906203,0.8912010684811469
001168,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,Bronx,1685,1685,7.269436201780415,0,60775677.82,36068.65152522255,1682,0.9982195845697329,12204,13593.176081211923,0.8978034218851914
001438,BELLEVUE HOSPITAL CENTER,New York,1632,1628,10.213759213759214,4,73352000.04,44946.07845588235,1624,0.9950980392156863,16587,11599.901376630454,1.429925950354778
001324,MOUNT SINAI BROOKLYN,Kings,1613,1613,8.475511469311842,0,39318765.9,24376.172287662743,1613,1.0,13671,11817.702977078683,1.1568237944815438
001172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,Bronx,1611,1610,5.562732919254659,1,49160217.34,30515.342855369337,1609,0.9987585350713842,8955,11766.65238084426,0.7610490826242524
001466,MOUNT SINAI WEST,New York,1561,1557,8.003211303789339,4,47858766.68,30659.04335682255,1556,0.9967969250480462,12449,11792.233697840586,1.0556948173677803
001318,WYCKOFF HEIGHTS MEDICAL CENTER,Kings,1495,1495,5.203344481605352,0,22620593.85,15130.832006688963,1495,1.0,7779,9437.491094632505,0.8242656784517912
001635,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,Queens,1495,1495,8.05752508361204,0,47038603.84,31463.949056856185,1493,0.9986622073578595,12039,10853.267060483115,1.109251245077545
001639,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,Queens,1493,1493,6.642330877427997,0,32767598.23,21947.48709310114,1493,1.0,9917,11695.92381589413,0.847902239797709
001453,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,New York,1439,1437,9.24008350730689,2,92967161.58,64605.393731758166,1436,0.9979152189020153,13276,13181.449912518083,1.0071729656532038
001165,JACOBI MEDICAL CENTER,Bronx,1420,1419,7.788583509513742,1,51321637.27,36141.998077464785,1418,0.9985915492957746,11049,11192.806881459257,0.9871518482376863
001628,FLUSHING HOSPITAL MEDICAL CENTER,Queens,1336,1336,7.913922155688622,0,44262588.53,33130.680037425154,1336,1.0,10573,11042.69129330062,0.9574658676200092
001286,BROOKDALE HOSPITAL MEDICAL CENTER,Kings,1187,1186,7.415682967959528,1,41473182.39,34939.49653748947,1185,0.9983150800336984,8789,8796.597471396646,0.9991363170337906
001437,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,New York,1179,1178,6.865025466893039,1,56991659.2,48338.98150975403,1178,0.9991518235793045,8087,9797.900836232102,0.8253808785341771
001176,SBH HEALTH SYSTEM,Bronx,1147,1147,6.701830863121185,0,22114520.55,19280.314341761117,1147,1.0,7687,7845.954147552839,0.9797406224197198
001445,HARLEM HOSPITAL CENTER,New York,1146,1145,8.154585152838427,1,57243319.68,49950.54073298429,1144,0.9982547993019197,9336,8705.874626084978,1.0723793301625328
001737,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,Richmond,1062,1062,6.4246704331450095,0,25908262.21,24395.727128060265,1061,0.9990583804143126,6822,7601.230073521195,0.8974863191898855
001738,RICHMOND UNIVERSITY MEDICAL CENTER,Richmond,1058,1058,8.445179584120982,0,35444725.21,33501.630633270324,1058,1.0,8935,8910.87960222161,1.0027068481289296
001288,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,Kings,1051,1049,8.214489990467111,2,25416651.86,24183.30338725024,1048,0.9971455756422455,8614,6754.404247034523,1.2753160286167238
001293,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,Kings,1011,1011,6.716122650840751,0,20978824.63,20750.56837784372,1011,1.0,6790,7041.516111864502,0.9642809719002541
001692,WOODHULL MEDICAL & MENTAL HEALTH CENTER,Kings,883,882,7.317460317460317,1,41186723.39,46644.08084937712,882,0.9988674971687429,6454,6448.592480471606,1.000838558110901
001439,MOUNT SINAI BETH ISRAEL,New York,774,774,6.341085271317829,0,21962969.59,28375.929702842375,774,1.0,4908,5612.873529672062,0.8744184193807685
001320,UNIVERSITY HOSPITAL OF BROOKLYN,Kings,728,728,8.344780219780219,0,56605692.99,77755.07278846153,728,1.0,6075,4951.722271560565,1.2268458663141921
001186,NORTH CENTRAL BRONX HOSPITAL,Bronx,661,661,6.8910741301059,0,19090899.64,28881.845143721635,661,1.0,4555,4358.249654534654,1.0451443494662203
001309,INTERFAITH MEDICAL CENTER,Kings,659,659,7.450682852807284,0,20292739.92,30793.23204855842,659,1.0,4910,4683.909529455351,1.0482696066443749
001454,METROPOLITAN HOSPITAL CENTER,New York,473,472,6.692796610169491,1,19920193.82,42114.574672304436,472,0.9978858350951374,3159,3320.244884726996,0.9514358457508009
001175,CALVARY HOSPITAL INC,Bronx,237,231,20.783549783549784,6,7274976.11,30696.101729957805,231,0.9746835443037974,4801,1318.4503821547903,3.6413960396094356
001446,NYU LANGONE ORTHOPEDIC HOSPITAL,New York,37,35,24.6,2,7474907.22,202024.51945945944,35,0.9459459459459459,861,331.2502006150549,2.5992437088379794
010223,CALVARY HOSPITAL,Kings,30,30,17.3,0,647293.71,21576.457000000002,30,1.0,519,229.93257581912954,2.2571834293208535
003376,COHEN'S CHILDREN MEDICAL CENTER W/ LIJ,Queens,16,16,5.25,0,393122.84,24570.1775,15,0.9375,83,128.55451823143403,
010355,DAVID H. KOCH CENTER FOR CANCER CARE,New York,15,15,16.066666666666666,0,1251626.39,83441.75933333334,15,1.0,241,131.43869564112728,
