HospitalName,Discharges,MatchedDischarges,CoveragePct,AvgExactLOS,LOSIndex
CALVARY HOSPITAL INC,237,231,97.47,20.78,3.641
NYU LANGONE ORTHOPEDIC HOSPITAL,37,35,94.59,24.6,2.599
CALVARY HOSPITAL,30,30,100.0,17.3,2.257
BELLEVUE HOSPITAL CENTER,1632,1624,99.51,10.21,1.43
KINGS COUNTY HOSPITAL CENTER,1953,1946,99.64,9.83,1.322
BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,1051,1048,99.71,8.21,1.275
SOUTH BROOKLYN HEALTH,1799,1794,99.72,9.63,1.265
UNIVERSITY HOSPITAL OF BROOKLYN,728,728,100.0,8.34,1.227
ELMHURST HOSPITAL CENTER,1738,1734,99.77,8.85,1.194
MOUNT SINAI BROOKLYN,1613,1613,100.0,8.48,1.157
MOUNT SINAI HOSPITAL,3059,3054,99.84,8.93,1.119
MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,3365,3362,99.91,8.39,1.112
ST JOHNS EPISCOPAL HOSPITAL SO SHORE,1495,1493,99.87,8.06,1.109
MAIMONIDES MEDICAL CENTER,3569,3567,99.94,9.24,1.089
MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,2739,2738,99.96,8.56,1.075
HARLEM HOSPITAL CENTER,1146,1144,99.83,8.15,1.072
STATEN ISLAND UNIVERSITY HOSP-NORTH,3179,3178,99.97,8.11,1.068
MOUNT SINAI WEST,1561,1556,99.68,8.0,1.056
MOUNT SINAI MORNINGSIDE,2220,2218,99.91,7.88,1.054
INTERFAITH MEDICAL CENTER,659,659,100.0,7.45,1.048
NORTH CENTRAL BRONX HOSPITAL,661,661,100.0,6.89,1.045
LONG ISLAND JEWISH MEDICAL CENTER,3369,3364,99.85,8.0,1.038
NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,2871,2868,99.9,8.52,1.032
NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,2816,2812,99.86,8.29,1.019
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1439,1436,99.79,9.24,1.007
RICHMOND UNIVERSITY MEDICAL CENTER,1058,1058,100.0,8.45,1.003
WOODHULL MEDICAL & MENTAL HEALTH CENTER,883,882,99.89,7.32,1.001
BROOKDALE HOSPITAL MEDICAL CENTER,1187,1185,99.83,7.42,0.999
BRONXCARE HOSPITAL CENTER,2584,2584,100.0,6.94,0.993
JACOBI MEDICAL CENTER,1420,1418,99.86,7.79,0.987
SBH HEALTH SYSTEM,1147,1147,100.0,6.7,0.98
MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,1011,1011,100.0,6.72,0.964
FLUSHING HOSPITAL MEDICAL CENTER,1336,1336,100.0,7.91,0.957
METROPOLITAN HOSPITAL CENTER,473,472,99.79,6.69,0.951
JAMAICA HOSPITAL MEDICAL CENTER,2017,2014,99.85,6.92,0.925
NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,3661,3650,99.7,7.47,0.912
MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,1685,1682,99.82,7.27,0.898
STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,1062,1061,99.91,6.42,0.897
NEWYORK-PRESBYTERIAN/QUEENS,4395,4394,99.98,7.69,0.896
QUEENS HOSPITAL CENTER,1704,1703,99.94,6.57,0.891
MOUNT SINAI BETH ISRAEL,774,774,100.0,6.34,0.874
LONG ISLAND JEWISH FOREST HILLS,2003,2001,99.9,6.5,0.856
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,1493,1493,100.0,6.64,0.848
NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,1720,1720,100.0,7.15,0.827
NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,1179,1178,99.92,6.87,0.825
WYCKOFF HEIGHTS MEDICAL CENTER,1495,1495,100.0,5.2,0.824
NYU LANGONE HOSPITALS,3924,3923,99.97,6.38,0.788
NYU LANGONE HOSPITAL-BROOKLYN,2908,2908,100.0,6.23,0.773
LINCOLN MEDICAL & MENTAL HEALTH CENTER,1611,1609,99.88,5.56,0.761
LENOX HILL HOSPITAL,2257,2256,99.96,5.44,0.706
