ConditionDescription,SeverityKey,Severity,Discharges,AvgExactLOS,AvgEstimatedCost
HEART FAILURE,1,Minor,1336,3.32,14460.96
HEART FAILURE,2,Moderate,8236,4.62,20712.29
HEART FAILURE,3,Major,13123,6.77,31376.47
HEART FAILURE,4,Extreme,2345,12.47,67365.86
OTHER PNEUMONIA,1,Minor,742,2.66,13797.24
OTHER PNEUMONIA,2,Moderate,2847,3.6,16919.59
OTHER PNEUMONIA,3,Major,5166,5.71,25850.21
OTHER PNEUMONIA,4,Extreme,941,10.31,52962.61
SEPTICEMIA AND DISSEMINATED INFECTIONS,1,Minor,1535,3.14,12693.99
SEPTICEMIA AND DISSEMINATED INFECTIONS,2,Moderate,9656,4.46,18441.94
SEPTICEMIA AND DISSEMINATED INFECTIONS,3,Major,21732,7.16,31505.22
SEPTICEMIA AND DISSEMINATED INFECTIONS,4,Extreme,22325,12.64,71399.99
