HospitalKey,HospitalName,MatchedDischarges,SensitivityLOSIndex,PrimaryLOSIndex
001438,BELLEVUE HOSPITAL CENTER,1420,1.3308737426307815,1.429925950354778
001294,SOUTH BROOKLYN HEALTH,1530,1.330630979653074,1.2649765965548716
001320,UNIVERSITY HOSPITAL OF BROOKLYN,641,1.2538134994513628,1.2268458663141921
001288,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,908,1.2403832792300444,1.2753160286167238
001635,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,1227,1.229323725561347,1.109251245077545
001324,MOUNT SINAI BROOKLYN,1445,1.2013973550065817,1.1568237944815438
001301,KINGS COUNTY HOSPITAL CENTER,1687,1.1921536674279642,1.3218034122005895
001626,ELMHURST HOSPITAL CENTER,1528,1.1334925013609307,1.193775363395317
001305,MAIMONIDES MEDICAL CENTER,3034,1.1072205164273574,1.0893519719826934
001293,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,909,1.0942315248575767,0.9642809719002541
001169,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,3011,1.08861120641084,1.1122628263441645
001740,STATEN ISLAND UNIVERSITY HOSP-NORTH,2814,1.086660114840093,1.0683798711293024
003058,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,2428,1.0791588012353106,1.075045932791146
001469,MOUNT SINAI MORNINGSIDE,1980,1.0761048182052748,1.0543040771394234
001692,WOODHULL MEDICAL & MENTAL HEALTH CENTER,805,1.074446966506055,1.000838558110901
001630,LONG ISLAND JEWISH MEDICAL CENTER,2979,1.0714554351996282,1.0380290644107792
001286,BROOKDALE HOSPITAL MEDICAL CENTER,988,1.070537655657765,0.9991363170337906
001186,NORTH CENTRAL BRONX HOSPITAL,616,1.068193658292751,1.0451443494662203
001309,INTERFAITH MEDICAL CENTER,568,1.0678480234022192,1.0482696066443749
001738,RICHMOND UNIVERSITY MEDICAL CENTER,872,1.0634365120373162,1.0027068481289296
001306,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,2577,1.0467438237724207,1.0194373549859088
001628,FLUSHING HOSPITAL MEDICAL CENTER,1167,1.0423798827163868,0.9574658676200092
001445,HARLEM HOSPITAL CENTER,1017,1.0416275267253399,1.0723793301625328
001466,MOUNT SINAI WEST,1388,1.0348294620453908,1.0556948173677803
001456,MOUNT SINAI HOSPITAL,2668,1.0255178565332697,1.1188670823906641
001165,JACOBI MEDICAL CENTER,1260,1.0169563447906627,0.9871518482376863
001176,SBH HEALTH SYSTEM,1040,1.0059413898555774,0.9797406224197198
001458,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,2552,0.9968241050445834,1.0321062608869962
001178,BRONXCARE HOSPITAL CENTER,2394,0.991422226458015,0.9925878141942625
001453,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1192,0.9859809735180888,1.0071729656532038
001168,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,1519,0.9726137335754055,0.8978034218851914
001737,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,972,0.9690274947913051,0.8974863191898855
001629,JAMAICA HOSPITAL MEDICAL CENTER,1785,0.9575096351049304,0.9249333596944324
001637,NEWYORK-PRESBYTERIAN/QUEENS,4082,0.9373087696950136,0.8960366744733677
001638,LONG ISLAND JEWISH FOREST HILLS,1841,0.9167603618838249,0.8559985568257847
001464,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,3322,0.9074175368251274,0.9115327571090602
001639,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,1386,0.9000818697658788,0.847902239797709
003975,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,1554,0.8725263799611669,0.8274553809344287
001318,WYCKOFF HEIGHTS MEDICAL CENTER,1424,0.871923333057322,0.8242656784517912
001439,MOUNT SINAI BETH ISRAEL,722,0.8680128297212844,0.8744184193807685
001633,QUEENS HOSPITAL CENTER,1574,0.8525612625753223,0.8912010684811469
001454,METROPOLITAN HOSPITAL CENTER,428,0.8518770685003753,0.9514358457508009
001437,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,1089,0.8406621233860453,0.8253808785341771
001172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,1462,0.78684526837083,0.7610490826242524
001463,NYU LANGONE HOSPITALS,3736,0.7802371268950965,0.7875597099887989
001304,NYU LANGONE HOSPITAL-BROOKLYN,2792,0.775087551531967,0.7733295437653919
001450,LENOX HILL HOSPITAL,2107,0.7488173213306568,0.7058126810650566
