HospitalKey,HospitalName,HospitalCounty
001165,JACOBI MEDICAL CENTER,Bronx
001168,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,Bronx
001169,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,Bronx
001172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,Bronx
001175,CALVARY HOSPITAL INC,Bronx
001176,SBH HEALTH SYSTEM,Bronx
001178,BRONXCARE HOSPITAL CENTER,Bronx
001186,NORTH CENTRAL BRONX HOSPITAL,Bronx
001286,BROOKDALE HOSPITAL MEDICAL CENTER,Kings
001288,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,Kings
001293,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,Kings
001294,SOUTH BROOKLYN HEALTH,Kings
001301,KINGS COUNTY HOSPITAL CENTER,Kings
001304,NYU LANGONE HOSPITAL-BROOKLYN,Kings
001305,MAIMONIDES MEDICAL CENTER,Kings
001306,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,Kings
001309,INTERFAITH MEDICAL CENTER,Kings
001318,WYCKOFF HEIGHTS MEDICAL CENTER,Kings
001320,UNIVERSITY HOSPITAL OF BROOKLYN,Kings
001324,MOUNT SINAI BROOKLYN,Kings
001437,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,New York
001438,BELLEVUE HOSPITAL CENTER,New York
001439,MOUNT SINAI BETH ISRAEL,New York
001445,HARLEM HOSPITAL CENTER,New York
001446,NYU LANGONE ORTHOPEDIC HOSPITAL,New York
001450,LENOX HILL HOSPITAL,New York
001453,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,New York
001454,METROPOLITAN HOSPITAL CENTER,New York
001456,MOUNT SINAI HOSPITAL,New York
001458,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,New York
001463,NYU LANGONE HOSPITALS,New York
001464,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,New York
001466,MOUNT SINAI WEST,New York
001469,MOUNT SINAI MORNINGSIDE,New York
001626,ELMHURST HOSPITAL CENTER,Queens
001628,FLUSHING HOSPITAL MEDICAL CENTER,Queens
001629,JAMAICA HOSPITAL MEDICAL CENTER,Queens
001630,LONG ISLAND JEWISH MEDICAL CENTER,Queens
001633,QUEENS HOSPITAL CENTER,Queens
001635,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,Queens
001637,NEWYORK-PRESBYTERIAN/QUEENS,Queens
001638,LONG ISLAND JEWISH FOREST HILLS,Queens
001639,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,Queens
001692,WOODHULL MEDICAL & MENTAL HEALTH CENTER,Kings
001737,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,Richmond
001738,RICHMOND UNIVERSITY MEDICAL CENTER,Richmond
001740,STATEN ISLAND UNIVERSITY HOSP-NORTH,Richmond
003058,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,Bronx
003376,COHEN'S CHILDREN MEDICAL CENTER W/ LIJ,Queens
003975,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,New York
010223,CALVARY HOSPITAL,Kings
010355,DAVID H. KOCH CENTER FOR CANCER CARE,New York
